,Ссылка,Комнаты,Цена,Цена за метр,Метро,Время до метро(мин),Площадь(м2),Максимальный этаж,Этаж,Тип строения,Тип жилья
205,https://podolsk.cian.ru/sale/flat/301858342/,2,8600000,171657,Подольск,11,50.1,9,2,Квартира,Вторичка
206,https://www.cian.ru/sale/flat/301858215/,3,20500000,303704,Фонвизинская,8,67.5,9,4,Квартира,Вторичка
207,https://www.cian.ru/sale/flat/301858152/,4,100000000,717875,Арбатская,10,139.3,5,2,Квартира,Вторичка
208,https://www.cian.ru/sale/flat/301858049/,1,17000000,287648,Шоссе Энтузиастов,13,59.1,5,3,Квартира,Вторичка
209,https://www.cian.ru/sale/flat/301857943/,3,37000000,345794,Бульвар Рокоссовского,4,107,23,12,Квартира,Вторичка
210,https://kotelniki.cian.ru/sale/flat/301857902/,1,4800000,287425,Котельники,19,16.7,9,1,Квартира,Вторичка
211,https://odintsovo.cian.ru/sale/flat/301857889/,3,14700000,196000,Кунцевская,15,75,24,20,Квартира,Вторичка
212,https://www.cian.ru/sale/flat/301857881/,3,23000000,307076,Медведково,10,74.9,14,11,Квартира,Вторичка
213,https://www.cian.ru/sale/flat/301857879/,2,13700000,306488,Коломенская,16,44.7,9,6,Квартира,Вторичка
214,https://kotelniki.cian.ru/sale/flat/301857878/,3,12500000,160256,Жулебино,7,78,25,11,Квартира,Вторичка
215,https://balashikha.cian.ru/sale/flat/301857876/,2,9500000,104396,Кучино,20,91,5,2,Квартира,Вторичка
216,https://lyubertsy.cian.ru/sale/flat/301857856/,2,12000000,210526,Некрасовка,6,57,17,3,Квартира,Вторичка
217,https://krasnogorsk.cian.ru/sale/flat/301857837/,2,15500000,214979,Пенягино,19,72.1,15,6,Квартира,Вторичка
218,https://www.cian.ru/sale/flat/301857813/,1,9000000,418605,Прокшино,13,21.5,17,12,Квартира,Вторичка
219,https://www.cian.ru/sale/flat/301857786/,1,8500000,266458,Рязанский проспект,17,31.9,9,7,Квартира,Вторичка
220,https://reutov.cian.ru/sale/flat/301857770/,2,16900000,225033,Новокосино,13,75.1,17,16,Квартира,Вторичка
221,https://lyubertsy.cian.ru/sale/flat/301857761/,3,13000000,155689,Ухтомская,15,83.5,9,8,Квартира,Вторичка
222,https://www.cian.ru/sale/flat/301857752/,1,12000000,401338,Петровский Парк,14,29.9,5,4,Квартира,Вторичка
223,https://www.cian.ru/sale/flat/301857750/,2,21500000,404896,Багратионовская,8,53.1,23,3,Квартира,Вторичка
